Michigan, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199409,49.7,2.4
199410,39.6,2.3
199411,30.6,3.5
199412,23.2,6.9
199501,16.6,6.4
199502,10.5,0.5
199503,23.0,3.7
199504,29.0,-1.9
199505,41.6,0.3
199506,54.7,3.7
199507,58.0,2.1
199508,61.6,7.5
199509,44.2,-3.1
199510,40.5,3.2
199511,21.5,-5.6
199512,13.0,-3.3
199601,7.2,-3.0
199602,9.5,-0.5
199603,14.5,-4.8
199604,28.0,-2.9
199605,39.8,-1.5
199606,53.9,2.9
199607,53.4,-2.5
199608,55.7,1.6
199609,49.4,2.1
199610,37.3,0.0
199611,24.1,-3.0
199612,20.2,3.9
199701,9.6,-0.6
199702,15.0,5.0
199703,20.5,1.2
199704,28.7,-2.2
199705,36.5,-4.8
199706,52.8,1.8
199707,55.5,-0.4
199708,52.6,-1.5
199709,48.1,0.8
199710,37.0,-0.3
199711,26.6,-0.5
199712,23.5,7.2
199801,18.7,8.5
199802,25.0,15.0
199803,24.5,5.2
199804,33.8,2.9
199805,47.2,5.9
199806,52.4,1.4
199807,56.3,0.4
199808,57.5,3.4
199809,50.2,2.9
199810,40.0,2.7
199811,32.0,4.9
199812,21.2,4.9
199901,9.7,-0.5
199902,18.6,8.6
199903,19.7,0.4
199904,34.5,3.6
199905,45.0,3.7
199906,54.7,3.7
199907,60.6,4.7
199908,54.2,0.1
199909,46.7,-0.6
199910,35.8,-1.5
199911,31.6,4.5
199912,19.4,3.1
200001,10.6,0.4
200002,16.9,6.9
200003,28.2,8.9
200004,31.4,0.5
200005,45.0,3.7
200006,52.8,1.8
200007,54.7,-1.2
200008,55.0,0.9
200009,47.0,-0.3
200010,39.9,2.6
200011,29.8,2.7
200012,8.2,-8.1
200101,16.4,6.2
200102,14.1,4.1
200103,20.3,1.0
200104,34.8,3.9
200105,45.7,4.4
200106,53.1,2.1
200107,56.0,0.1
200108,58.1,4.0
200109,47.3,0.0
200110,38.4,1.1
200111,35.1,8.0
200112,25.6,9.3
200201,20.6,10.4
200202,18.6,8.6
200203,17.8,-1.5
200204,33.2,2.3
200205,38.5,-2.8
200206,54.5,3.5
200207,60.2,4.3
200208,56.7,2.6
200209,51.2,3.9
200210,35.6,-1.7
200211,26.4,-0.7
200212,18.9,2.6
200301,9.5,-0.7
200302,6.8,-3.2
200303,17.8,-1.5
200304,29.6,-1.3
200305,41.3,0.0
200306,49.6,-1.4
200307,55.8,-0.1
200308,57.2,3.1
200309,48.2,0.9
200310,36.5,-0.8
200311,30.3,3.2
200312,21.8,5.5
200401,6.7,-3.5
200402,12.9,2.9
200403,26.0,6.7
200404,32.5,1.6
200405,42.8,1.5
200406,50.8,-0.2
200407,55.2,-0.7
200408,52.3,-1.8
200409,50.8,3.5
200410,39.4,2.1
200411,30.6,3.5
200412,15.8,-0.5
200501,10.0,-0.2
200502,17.2,7.2
200503,16.6,-2.7
200504,33.9,3.0
200505,40.4,-0.9
200506,57.7,6.7
200507,58.2,2.3
200508,57.7,3.6
200509,51.6,4.3
200510,41.0,3.7
200511,29.1,2.0
200512,17.8,1.5
200601,23.9,13.7
200602,14.4,4.4
200603,22.6,3.3
200604,34.9,4.0
200605,44.9,3.6
200606,52.1,1.1
200607,59.7,3.8
200608,56.3,2.2
200609,47.0,-0.3
200610,35.6,-1.7
200611,31.7,4.6
200612,25.3,9.0
200701,17.2,7.0
200702,7.1,-2.9
200703,24.5,5.2
200704,31.1,0.2
200705,44.6,3.3
200706,54.0,3.0
200707,55.6,-0.3
200708,57.4,3.3
200709,49.8,2.5
200710,44.8,7.5
200711,27.6,0.5
200712,17.6,1.3
200801,15.7,5.5
200802,9.1,-0.9
200803,17.2,-2.1
200804,34.1,3.2
200805,38.6,-2.7
200806,53.9,2.9
200807,57.0,1.1
200808,54.0,-0.1
200809,49.5,2.2
200810,36.8,-0.5
200811,28.7,1.6
200812,13.1,-3.2
200901,3.5,-6.7
200902,13.3,3.3
200903,20.9,1.6
200904,32.4,1.5
200905,41.4,0.1
200906,51.3,0.3
200907,52.6,-3.3
200908,55.1,1.0
200909,49.0,1.7
200910,36.8,-0.5
200911,32.6,5.5
200912,17.0,0.7
201001,15.1,4.9
201002,15.8,5.8
201003,25.9,6.6
201004,36.3,5.4
201005,46.4,5.1
201006,54.7,3.7
201007,60.4,4.5
201008,60.1,6.0
201009,47.9,0.6
201010,38.8,1.5
201011,29.0,1.9
201012,17.0,0.7
201101,9.6,-0.6
201102,12.8,2.8
201103,19.4,0.1
201104,32.0,1.1
201105,44.3,3.0
201106,52.9,1.9
201107,60.9,5.0
201108,57.0,2.9
201109,48.2,0.9
201110,39.4,2.1
201111,31.8,4.7
201112,23.5,7.2
201201,17.4,7.2
201202,20.7,10.7
201203,34.1,14.8
201204,32.0,1.1
201205,46.0,4.7
201206,53.9,2.9
201207,61.0,5.1
201208,55.7,1.6
201209,46.3,-1.0
201210,38.2,0.9
201211,28.4,1.3
201212,24.3,8.0
201301,15.3,5.1
201302,12.9,2.9
201303,19.5,0.2
201304,30.0,-0.9
201305,43.9,2.6
201306,52.6,1.6
201307,57.7,1.8
201308,55.0,0.9
201309,47.9,0.6
201310,39.1,1.8
201311,27.2,0.1
201312,12.2,-4.1
201401,4.2,-6.0
201402,3.3,-6.7
201403,9.6,-9.7
201404,30.2,-0.7
201405,43.1,1.8
201406,54.0,3.0
201407,53.6,-2.3
201408,55.4,1.3
201409,47.6,0.3
201410,39.0,1.7
201411,23.6,-3.5
201412,22.1,5.8
201501,8.5,-1.7
201502,-2.6,-12.6
201503,17.9,-1.4
201504,31.8,0.9
201505,45.1,3.8
201506,51.2,0.2
201507,56.0,0.1
201508,56.7,2.6
201509,53.7,6.4
201510,39.4,2.1
201511,32.1,5.0
201512,29.7,13.4
201601,15.8,5.6
201602,17.4,7.4
201603,26.7,7.4
201604,30.4,-0.5
201605,42.9,1.6
201606,52.4,1.4
201607,58.9,3.0
201608,60.1,6.0
201609,53.3,6.0
201610,42.2,4.9
201611,33.6,6.5
201612,19.1,2.8
201701,19.2,9.0
201702,21.3,11.3
201703,22.2,2.9
201704,36.4,5.5
201705,42.1,0.8
201706,53.9,2.9
201707,57.3,1.4
201708,54.7,0.6
201709,50.5,3.2
201710,42.7,5.4
201711,27.3,0.2
201712,13.8,-2.5
201801,12.1,1.9
201802,14.2,4.2
201803,20.4,1.1
201804,25.1,-5.8
201805,47.0,5.7
201806,53.8,2.8
201807,58.5,2.6
201808,59.2,5.1
201809,52.1,4.8
201810,37.5,0.2
201811,25.4,-1.7
201812,22.8,6.5
201901,9.1,-1.1
201902,11.7,1.7
201903,17.4,-1.9
201904,32.8,1.9
201905,40.9,-0.4
201906,51.1,0.1
201907,59.4,3.5
201908,54.7,0.6
201909,52.8,5.5
201910,38.7,1.4
201911,24.3,-2.8
201912,21.8,5.5
202001,21.3,11.1
202002,15.5,5.5
202003,26.2,6.9
202004,29.9,-1.0
202005,42.2,0.9
202006,52.8,1.8
202007,60.9,5.0
202008,57.5,3.4
202009,47.4,0.1
202010,35.3,-2.0
